				LA19	LA21	DF21	ADD23.1	ADD23.2	HABLA	Partial	HAD	SceneFake	CtrSVDD	AVG		
Wav2Vec	FFN	0	0.63	6.31	15.09	58.31	67.14	9.8	3.13	22.47	13.06	19.34	21.53	21.53
Wav2Vec	FFN	1	0.58	7.08	12.1	60.07	69.73	9.87	2.64	24.18	11.2	17.1	21.45	21.45
Wav2Vec	FFN	2	0.48	5.53	14.02	63.3	73.77	9.87	2.58	19.55	9.99	17.73	21.68	21.68
Wav2Vec	FFN	3	0.68	6.33	15.58	64.43	74.1	9.94	2.69	17.63	9.26	17.83	21.85	21.85
Wav2Vec	AASIST	0	0.63	5.09	15.01	62.59	66.85	9.96	2.97	37.43	12.48	15.92	22.89	22.89
Wav2Vec	AASIST	1	0.55	5.69	12.17	56.12	63.03	10.02	1.82	36.41	9.87	20.42	21.61	21.61
Wav2Vec	AASIST	2	0.92	6.48	12.5	57.78	65.62	10.09	2.11	34.65	10.87	16.8	21.78	21.78
Wav2Vec	AASIST	3	1.02	5.08	15.8	58.59	64.91	10.11	2.25	30.24	9.54	16.67	21.42	21.42
Hubert	FFN	0	3.41	27.13	17.98	57.27	63.22	9.91	3.36	31.32	12.27	19.18	24.5	24.5
Hubert	FFN	1	2.55	30.15	13.9	57.19	63.57	9.88	2.86	22.43	7.64	14.47	22.46	22.46
Hubert	FFN	2	1.85	25.03	12.34	57.46	62.73	9.99	2.12	21.74	4.07	12.61	20.99	20.99
Hubert	FFN	3	2.92	29.73	13.19	61.12	66.18	10.14	2.14	19.0	2.44	15.1	22.19	22.19
Hubert	AASIST	0	0.55	21.26	17.7	64.33	70.01	10.08	3.0	28.5	8.45	17.92	24.18	24.18
Hubert	AASIST	1	0.26	21.51	12.42	54.47	58.86	10.14	2.18	31.03	5.79	15.89	21.26	21.26
Hubert	AASIST	2	0.26	25.26	11.76	55.85	60.02	10.05	1.84	30.87	3.8	14.83	21.46	21.46
Hubert	AASIST	3	0.57	39.87	15.48	58.55	66.05	10.1	1.97	23.21	2.68	14.25	23.27	23.27
WavLM	FFN	0	0.98	11.7	13.3	56.46	64.14	9.97	3.28	25.65	11.29	18.09	21.49	21.49
WavLM	FFN	1	0.6	6.78	9.4	57.92	65.09	9.94	2.33	18.67	4.83	17.33	19.29	19.29
WavLM	FFN	2	0.44	6.92	9.39	59.81	67.63	9.86	2.54	15.99	3.25	16.24	19.21	19.21
WavLM	FFN	3	0.63	6.61	11.01	64.53	72.18	9.89	2.09	18.49	4.33	16.51	20.63	20.63
WavLM	AASIST	0	0.68	5.5	15.11	57.69	63.17	10.03	3.37	32.62	8.7	17.73	21.46	21.46
WavLM	AASIST	1	0.37	5.42	11.53	58.1	66.38	10.04	2.05	26.46	4.31	14.72	19.94	19.94
WavLM	AASIST	2	0.39	4.55	11.33	61.07	70.54	10.01	1.96	29.72	4.52	13.72	20.78	20.78
WavLM	AASIST	3	0.96	4.35	12.37	60.25	66.11	10.08	1.88	29.65	6.31	18.73	21.07	21.07
